# valid (M,A0) pairs with |M|,|A0| <= 6 (ntok=4 check): 1288
PAIR baaba aaaabb len 5 6 ntok5 1 ntok6 1
PAIR baaba baaabb len 5 6 ntok5 1 ntok6 1
PAIR baaba bbaabb len 5 6 ntok5 1 ntok6 1
PAIR baaba aaabbb len 5 6 ntok5 1 ntok6 1
PAIR baaba baabbb len 5 6 ntok5 1 ntok6 1
PAIR baaba aabbbb len 5 6 ntok5 1 ntok6 1
PAIR aabba aaba len 5 4 ntok5 1 ntok6 1
PAIR aabba aaaba len 5 5 ntok5 1 ntok6 1
PAIR aabba baaba len 5 5 ntok5 1 ntok6 1
PAIR aabba aabab len 5 5 ntok5 1 ntok6 1
PAIR aabba aabbb len 5 5 ntok5 1 ntok6 1
PAIR aabba aaaaba len 5 6 ntok5 1 ntok6 1
PAIR aabba baaaba len 5 6 ntok5 1 ntok6 1
PAIR aabba bbaaba len 5 6 ntok5 1 ntok6 1
PAIR aabba aababa len 5 6 ntok5 1 ntok6 1
PAIR aabba aabbba len 5 6 ntok5 1 ntok6 1
PAIR aabba aaabab len 5 6 ntok5 1 ntok6 1
PAIR aabba baabab len 5 6 ntok5 1 ntok6 1
PAIR aabba aababb len 5 6 ntok5 1 ntok6 1
PAIR aabba aaabbb len 5 6 ntok5 1 ntok6 1
PAIR aabba baabbb len 5 6 ntok5 1 ntok6 1
PAIR aabba aabbbb len 5 6 ntok5 1 ntok6 1
PAIR babba baa len 5 3 ntok5 1 ntok6 1
PAIR babba baaa len 5 4 ntok5 1 ntok6 1
PAIR babba baab len 5 4 ntok5 1 ntok6 1
PAIR babba baaaa len 5 5 ntok5 1 ntok6 1
PAIR babba babaa len 5 5 ntok5 1 ntok6 1
PAIR babba bbbaa len 5 5 ntok5 1 ntok6 1
PAIR babba baaba len 5 5 ntok5 1 ntok6 1
PAIR babba baaab len 5 5 ntok5 1 ntok6 1
PAIR babba baabb len 5 5 ntok5 1 ntok6 1
PAIR babba baaaaa len 5 6 ntok5 1 ntok6 1
PAIR babba babaaa len 5 6 ntok5 1 ntok6 1
PAIR babba bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR babba bbbbaa len 5 6 ntok5 1 ntok6 1
PAIR babba baaaba len 5 6 ntok5 1 ntok6 1
PAIR babba baabba len 5 6 ntok5 1 ntok6 1
PAIR babba baaaab len 5 6 ntok5 1 ntok6 1
PAIR babba babaab len 5 6 ntok5 1 ntok6 1
